benchmark,mean_ns
compare_all_languages,1577.62
compare_new_topic_rust_only,199.65
compare_two_languages,256.93
load_all_content,3830120.58
load_new_concept_lexing,72272.76
load_single_concept,123323.80
registry_by_topic,40.44
registry_by_topic_compiler,38.78
registry_get_hit,16.60
registry_get_miss,15.69
registry_get_new_topic,20.69
registry_list,938.05
search_allocator_rust_filter,29238.15
search_broad_all,3249.91
search_compiler_text,30653.72
search_multi_tag,7694.47
search_quantum,29948.44
search_ssa_tag,7430.35
search_syscall_tag,7735.48
search_tag,7571.97
search_text_empty_registry,19.90
search_text_hit,30496.23
search_text_miss,25795.09
search_text_with_language_filter,32092.86
